Imie,Nazwisko
Jadwiga,Baranowska
Zofia,Chorzowska
Katarzyna,Bilska
Michal,Rada
Pawel,Milek
Marcin,Biernat
Gracja,Bijakowska
Wojciech,Zaluski
Martyn,Kowalski
Jolanta,Ochala
Przemyslaw,Planeta
Barbara,Michalska
Kamil,Berakacz
Teresa,Kuc
Matylda,Zielinska
Wieslawa,Babiarz
Natalia,Barton
Alojzy,Wolak
Daniel,Lisiecki
Adam,Bzinkowski
Andrzej,Tokarski
Gabriela,Kolska
Bogumila,Kolodziej
Augustyna,Swierkowska
Tomasz,Tutaj
Sylwester,Jarecki
Antoni,Banakiewicz
Piotr,Skiba
Lidia,Kazdron
Karol,Krol
Beata,Kotlarska
Jan,Tyranowski
Celina,Koral
Jacek,Witebski
Karol,Kedzierski
Bartosz,Samek
Natalia,Goral
Janusz,Figielski
Henryk,Klosinski
Krzysztof,Dyszy
Barbara,Szelest
Monika,Chojecka
Elzbieta,Jandura
Roman,Aron
Joanna,Lodziarz
Martyna,Bobrowska
Dominik,Zagajewski
Marianna,Lyszkowska
Anna,Tabor
Marek,Frymarkiewicz
Gerard,Graczynski
Stefan,Skoczkowski
Gabriela,Kawka
Klementyna,Bobkowicz
Artur,Bartoszewicz
Michal,Grzesiak
Ewelina,Korpet
Radomila,Bojka
Maciej,Drozdzik
Jerzy,Przybylski
Hanna,Baron
Teresa,Bajerska
Danuta,Bednar
Boguslawa,Keta
Beata,Grabowska
Stefania,Zakrzewska
Anna,Barcikowska
Tadeusz,Holski
Aleksandra,Drabicka
Igor,Krynicki
Boleslaw,Ludziejewski
Danuta,Wojciechowska
Katarzyna,Kausek
Maria,Swoboda
Witold,Basik
Brygida,Mika
Mariola,Barszczon
Karina,Wozniak
Michal,Kostrzewa
Artur,Duszczyk
Nikodem,Nowicki
Jadwiga,Borek
Jaroslaw,Firek
Grzegorz,Podsiadly
Wawrzyniec,Kalinowski
Boleslaw,Drozdz
Korneliusz,Gajos
Agnieszka,Muszynska
Alicja,Bankowska
Barbara,Boronowska
Ireneusz,Pazdziernik
Maciej,Golec
Maciej,Slomczynski
Tymon,Czarna
Janina,Lina
Kaja,Kalwas
Anna,Pulka
Waclawa,Kasperek
Cezary,Karpowicz
Malgorzata,Balcerzak
Kacper,Wosik
Stefan,Biegajski
Tomasz,Jasak
Witold,Barylkiewicz
Michal,Bilski
Kazimierz,Sycowski
Marcin,Bacz
Jolanta,Czubacka
Andrzej,Jurkowski
Ireneusz,Alotek
Janusz,Judycki
Grazyna,Pawlowska
Adam,Sliz
Damian,Bawicz
Bronislawa,Wegrzyn
Jaromir,Gonczyk
Amadeusz,Toborek
Jakub,Socha
Katarzyna,Dwornik
Celina,Wisniewska
Konstancja,Raszyn
Edyta,Tomczyk
Jerzy,Semeniuk
Helena,Maczynska
Jaroslaw,Bajda
Klemens,Rokosz
Jakub,Wtorek
Adrianna,Brzezinska
Karol,Binski
Iwona,Nyska
Cecylia,Czylok
Mateusz,Antoniak
Adam,Kaleta
Michal,Salacinski
Krzysztof,Krzesinski
Zofia,Gorajska
Janusz,Aleksandrowicz
Danuta,Zasada
Aleksander,Rutkowski
Karina,Mikolajczak
Aleksy,Pobereznik
Beata,Domnicz
Juliusz,Blazowski
Kacper,Stachowicz
Paulina,Lewinska
Krzysztof,Wroblewski
Jan,Bieniek
Magdalena,Wawrzyn
Marek,Bakucha
Teofil,Chudy
Krzysztof,Rosiewicz
Mikolaj,Jozwiak
Olga,Berus
Halina,Haczyk
Sebastian,Lewandowski
Barbara,Kotwicka
Jerzy,Bolkowicz
Michal,Wojciechowski
Inga,Barskacz
Jerzy,Lubec
Malgorzata,Szulim
Marcin,Hebda
Andrzej,Wieczorek
Jan,Babul
Kinga,Myszograj
Grazyna,Chrust
Dorota,Pietrowicz
Hanna,Wrona
Janusz,Wysocki
Adam,Baryla
Szymon,Duda
Anna,Bialowas
Grzegorz,Szlachcic
Kuba,Hauser
Dariusz,Adamus
Franciszek,Bielanski
Adam,Konopka
Monika,Lawrynowicz
Kacper,Fastnacht
Roman,Persinski
Piotr,Kuter
Wojciech,Kujdowicz
Angelika,Merak
Anna,Owsianka
Walery,Szurkowski
Karol,Kopycki
Franciszek,Szombierski
Ewelia,Michaliska
Kacper,Slawinski
Ewelina,Hassan
Arkadiusz,Godowski
Tymon,Czarnecki
Alina,Batorek
Michal,Prazuch
Czeslaw,Kos
Jan,Sikorski
Teresa,Polaska
Damian,Kulesza
Robert,Chochol
Anna,ocon
Maria,Wolczynska
Piotr,Bros
Arkadiusz,Bracki
Krzysztof,Checinski
Wiktor,Gorecki
Malgorzata,Stojecka
Karolina,Anuszewska
Janusz,Chmielowski
Zofia,Bujak
Marek,Lichwa
